material_id,formula,bandgap,formation_energy,stability,volume,density,n_sites,crystal_system,spacegroup,is_stable,is_metal
mp-26640,CoP2O7,0.0,-2.032404347928572,0.111390218250001,544.1310254109899,2.842701771700937,40,Monoclinic,P2_1/c,False,True
mp-3240711,ErUO4,0.44320000000000004,-3.846244763888885,0.0,74.84227689784322,10.412122080367972,6,Trigonal,R-3m,True,False
mp-25950,SbP2O7,0.0,-2.34721149867857,0.040036635750024,583.4719209154905,3.366242000849238,40,Monoclinic,P2_1/c,False,True
mp-1183925,CsCdO3,0.0,-0.6906371229310341,0.454132825,93.63968780473493,5.201431676083625,5,Cubic,Pm-3m,False,True
mp-1102561,KPO4,0.0,-2.042662547815476,0.19539416249999703,216.66035768177542,2.0550867152527,12,Tetragonal,I4_1/amd,False,True
mp-764046,V3(O2F)2,0.0,-2.694006633888889,0.048399145555569005,188.83892664426463,4.481456832071441,18,Monoclinic,P2_1/c,False,True
mp-640740,Na12B26O45,4.6041,-2.743176421203433,0.009406355421686,1747.570272312314,2.426686390040986,166,Triclinic,P1,False,False
mp-756525,Mn3CuO8,0.0,-1.464931576149425,0.07943884567708201,141.5439644306928,4.180623015180401,12,Trigonal,R-3m,False,True
mp-559568,K2Se2O5,3.5551,-1.6685271682430551,0.0,2794.6360136233534,3.005294312244909,144,Orthorhombic,Pbca,True,False
mp-997054,CuBiO2,0.8376999999999991,-1.2602380275000011,0.009776949687497,128.40952222360877,7.8759889859820245,8,Monoclinic,P2_1/m,False,False
mp-2765485,KMn2O4,0.0,-1.941867746158868,0.023363372857141,183.71993824903447,3.8498631434022172,14,Monoclinic,Cm,False,True
mp-779491,BaP4O11,5.1954,-2.753422743035713,0.019831726249999,1105.792702944793,2.626218566975901,64,Triclinic,P-1,False,False
mp-1429856,CrO3,0.0,-1.15513349125,0.40224307075000004,49.2985281077538,3.3681419701697832,4,Cubic,Pm-3m,False,True
mp-1185261,LiNiO3,0.0,-0.7054583776666661,0.5024219344545481,53.80230863498618,3.507124068215731,5,Cubic,Pm-3m,False,True
mp-674463,AlHO2,4.721100000000001,-2.4224078165625,0.23041776562499902,58.2331943918839,3.421171762724664,8,Orthorhombic,Pmc2_1,False,False
mp-1196168,Ba2WO6,0.0,-2.402359445,0.14893720469135002,637.3100991020845,5.778995013899343,36,Monoclinic,P2_1/c,False,True
mp-752643,NaTi2O4,0.0,-3.098568724006566,0.038360103571429,161.45791476994177,3.758452751287128,14,Cubic,Fd-3m,False,True
mp-1196792,FePO6,0.34129999999999905,-1.467807983705356,0.295881486562499,500.5617427484504,2.425848342312193,32,Monoclinic,P2_1/c,False,False
mp-3276957,TePbO4,2.5673999999999992,-1.226342622083334,0.0,380.2273663081757,6.966557950011408,24,Orthorhombic,Pbcn,True,False
mp-1968,La2O3,3.824799999999999,-3.8759289195,0.0,81.78386608522705,6.615226585908185,5,Trigonal,P-3m1,True,False
mp-26984,Mn(PO3)4,1.2741,-2.405268827882497,0.021140461813726003,962.9449929790518,2.557865247063154,68,Orthorhombic,Pbcn,False,False
mp-4998,Sr2IrO4,0.0,-2.3651623007142852,0.0,387.64967607690886,7.3927286720821055,28,Tetragonal,I4_1/acd,True,True
mp-1178551,Ba3(ClO)2,2.4432,-2.889153341428571,0.023377207142857,423.27351264133716,4.039884189314121,14,Monoclinic,P2_1/c,False,False
mp-2754394,VCoO3,0.0,-1.99485521725,0.07013643868750001,92.4212721610739,5.673025345244147,10,Trigonal,R-3,False,True
mp-764087,V2(OF)3,1.4803,-2.650754087083333,0.013082019097204,293.96083718888156,3.505838023022235,24,Triclinic,P1,False,False
mp-3313858,Er2(CO3)3,5.4913,-2.366478844315476,0.0,475.53564365258427,3.593512235982637,28,Hexagonal,P6_3/m,True,False
mp-754828,Mn6O7F5,0.0,-2.228599954865901,0.07077763282405601,202.29475879693442,4.404819877036225,18,Monoclinic,C2,False,True
mp-775785,Hf2N2O,1.9946000000000002,-2.528965143249999,0.004576255499999,502.71782077164414,10.59623004894882,40,Triclinic,P1,False,False
mp-29332,Pt(PbO2)2,0.523799999999999,-1.2831919528571412,0.00015401678572,462.004384975345,9.682527212341977,28,Orthorhombic,Pbam,False,False
mp-3300656,Bi3Sb9O26,2.3079,-1.52228705875,0.003380299736818,552.726784165927,6.425423807571398,38,Monoclinic,Pm,False,False
mp-505201,Mn(Bi3O5)4,0.0,-1.6205993814524562,0.044618452575746,547.1735789115032,8.748267368053709,33,Cubic,I23,False,True
mp-28713,Na2Te2O5,2.9290000000000003,-1.7431334201213242,0.0,539.9559653055198,4.68896409500429,36,Monoclinic,C2/c,True,False
mp-33500,Cr2HO4,0.0,-1.9267929630357141,0.085660883214299,70.99225843368491,3.952928891524817,7,Monoclinic,P2/m,False,True
mp-1332857,Mn2ZnO4,0.0,-1.8972866056588682,0.08503859446428401,634.3792754487694,5.010734367702087,56,Monoclinic,Cm,False,True
mp-3269180,Ba3FeO4,2.1738,-2.459837585,0.0,306.255349003383,5.767173493932524,16,Trigonal,R-3c,True,False
mp-754621,Sm2Ge2O7,3.872899999999999,-3.000107539545455,0.011365502954544,163.25733714068565,5.675541700770562,11,Monoclinic,C2/m,False,False
mp-772938,Li2Ta4O11,3.4741,-3.184254699470586,0.032188219411764,419.8924907488904,7.226514633849073,34,Trigonal,R-3c,False,False
mp-766377,Zn9Fe15O32,0.0,-1.6387411214285712,0.093161694419642,620.3597120645134,5.188415556382406,56,Triclinic,P1,False,True
mp-777538,Fe5O3F7,1.3124,-2.2296758459999992,0.08192368044444001,365.1335035988351,4.185866454773789,30,Monoclinic,C2,False,False
mp-1101476,Pr(CuO2)2,0.0,-2.00708346452381,0.0,164.49273811717032,6.702963424878641,14,Tetragonal,I4_1/a,True,True
mp-761415,CuNi3O4,0.0,-1.084837146875,0.064425563749999,152.52431613939416,6.611131840627541,16,Orthorhombic,Cmmm,False,True
mp-1247896,Al2O3,3.191899999999999,-3.231849478750001,0.194701529249999,439.3989799077363,3.082586752352194,40,Triclinic,P1,False,False
mp-849484,Fe10O9F11,0.490699999999999,-2.063667144333335,0.108444806166666,348.7584667852689,4.339565465623099,30,Triclinic,P1,False,False
mp-1040809,Mg(NiO2)2,0.0,-1.51935633142857,0.050435785079364005,143.16691755730866,4.771427507319098,14,Trigonal,R3m,False,True
mp-20356,Ce2SbO2,0.0,-2.974765033999993,0.0,104.13952308976941,6.92012654334677,5,Tetragonal,I4/mmm,True,True
mp-1219096,Sm8Sb3O8,0.0,-3.075316037894737,0.002925584342114,391.3152333353992,7.197603703310639,19,Monoclinic,C2,False,True
mp-556788,SiO2,4.7965,-3.025782889166667,0.24704845472222303,148.001516429148,2.696521765071871,12,Triclinic,P1,False,False
mp-770688,Li4CrO5,1.4312,-2.059533565333333,0.020737729166665,200.1914791238349,2.650291679523717,20,Monoclinic,C2/c,False,False
mp-771396,Li4(FeO2)9,0.0,-1.5722452917204301,0.12350194282258001,677.4995992367491,4.011561816725413,62,Monoclinic,Pm,False,True
mp-2209213,Er3SbO7,3.7509,-3.447885611818182,0.0,281.834229574305,8.667371248769268,22,Orthorhombic,Cmcm,True,False
mp-3224000,Ca(PdO2)3,0.36189999999999906,-1.180022102250001,0.0,116.71300537698251,6.478288843484451,10,Orthorhombic,Cmmm,True,False
mp-4051,AlPO4,5.475,-3.119440272440476,0.007731930555554001,173.4598429980627,2.334921469215768,12,Orthorhombic,C222_1,False,False
mp-825406,ThV2O7,2.3154,-2.946319568,0.019233272250000003,1227.402630135745,4.8262068097651785,80,Orthorhombic,Pna2_1,False,False
mp-27559,Na14Cd2O9,1.3896,-1.455311590972413,0.0,365.86870220224085,3.134704078564414,25,Trigonal,P-3,True,False
mp-1401601,MgV2O6,2.2893,-2.503464015000001,0.023238636666665,141.05643457684295,2.615590542153476,9,Orthorhombic,Amm2,False,False
mp-3284525,Tb(SbO3)3,2.3432,-2.020187162980768,0.003153718653846,329.67920819251236,6.731222929760669,26,Orthorhombic,Cmcm,False,False
mp-756668,MnPO4,0.8814000000000001,-2.3487194870956483,0.09499871666666701,187.5727218385579,2.6542284436069723,12,Monoclinic,Cc,False,False
mp-766345,Y5O4F7,5.2436,-4.263526695,0.00092781703125,861.6702178001933,4.945102262329245,64,Orthorhombic,Aea2,False,False
mp-1399005,MgW2O5,0.0,-2.022251835625001,0.281371619062499,210.71565292699404,7.438883052542305,16,Triclinic,P1,False,True
mp-1019511,AlPO4,5.6861,-3.095414375357142,0.031757827638888,891.9891888335454,1.816233275170572,48,Triclinic,P-1,False,False
mp-754310,Fe5(OF2)4,0.0,-2.165191532941176,0.08254970570261401,195.04730421763995,4.215978605145998,17,Orthorhombic,Cmmm,False,True
mp-759739,V2OF5,0.8596,-2.96822932125,0.07850148166666601,281.85379254949794,3.762443082814814,24,Trigonal,P312,False,False
mp-1194571,In2O3,0.879599999999999,-1.962935164166665,0.031132223500001003,503.5571998402498,7.324251313979725,40,Orthorhombic,Pbca,False,False
mp-31112,Tb3GaO6,3.605399999999999,-3.579312696749999,0.0,268.3445831269804,7.951632802909207,20,Orthorhombic,Cmc2_1,True,False
mp-769394,Ba4Ta2O9,3.5999,-3.278819089977778,0.08070260133333301,541.4984844151642,6.471663911246883,30,Trigonal,P-3c1,False,False
mp-756215,Sm2Mn2O7,0.9750000000000001,-2.817081405987458,0.0,254.20447182826288,6.827450697402312,22,Cubic,Fd-3m,True,False
mp-5869,Ca2CuO3,0.0,-2.528575830833333,0.0017539077777790001,74.81717525868144,4.254713841767185,6,Orthorhombic,Immm,False,True
mp-5504,BaCO3,4.397399999999999,-2.682779261000001,0.0,308.7916524320886,4.2447257704252515,20,Orthorhombic,Pnma,True,False
mp-767737,Co9Cu3O16,0.0,-1.213403641071428,0.018226122372446002,276.9204464059783,5.858692563379923,28,Tetragonal,P-4m2,False,True
mp-1220234,Ni5O4,0.0,-0.7320208499999991,0.350721638888889,89.31197939925765,6.6461849487514115,9,Tetragonal,I4/m,False,True
mp-1245221,V2O5,0.926099999999999,-1.809130635666667,0.47989118147619103,1920.1189196308108,2.359376096543632,105,Triclinic,P1,False,False
mp-504554,Ba5Ta4O15,3.0865,-3.439217441430571,0.0,348.602497937457,7.861626879830266,24,Trigonal,P-3m1,True,False
mp-3056,NaTlO2,0.6208,-1.417691698678162,0.0,53.61179233562066,8.033626613716947,4,Trigonal,R-3m,True,False
mp-676605,Y6O5F8,5.1787,-4.217330260789474,0.039172412763161,259.1490301892427,4.904547362424145,19,Triclinic,P1,False,False
mp-1400395,AlNiO3,0.0,-1.835644731,0.370515997333332,93.4651059583781,4.749782638649847,10,Hexagonal,P6_3/mmc,False,True
mp-19217,ErMnO3,0.0,-3.082495226252873,0.0,364.2792410031499,7.389986188010839,30,Hexagonal,P6_3cm,True,True
mp-863389,Nb16Tl16O53,0.0,-2.364159269509805,0.009691011397059001,1253.0468088831205,7.427226422149385,85,Tetragonal,I-42m,False,True
mp-1101462,NbTlO3,0.9465000000000001,-2.451774461666669,0.0013711412499980001,621.9806468162132,7.374686230491849,40,Monoclinic,Cc,False,False
mp-1076454,Sr2Ti2O5,0.0,-3.257840154074076,0.072803140925874,254.02888581849595,4.588462881816368,18,Orthorhombic,Ima2,False,True
mp-759728,Sb7(O2F3)3,2.7586999999999993,-2.234122542272727,0.058521652954545006,786.0442760271984,4.729109549759576,44,Orthorhombic,Aem2,False,False
mp-625679,MoH4O5,0.7874,-1.334061551,0.20379699387499803,212.1841841856753,2.816846673982543,20,Triclinic,P-1,False,False
mp-1041679,W3O8,2.7281999999999993,-2.000729789999999,0.148077885227273,177.39860831387935,6.360599706351987,11,Triclinic,P-1,False,False
mp-627077,Ba(HO)2,4.07,-2.02778451225,0.029429058749999,526.5688946372837,4.322618464926401,40,Triclinic,P1,False,False
mp-1043362,Ta2O5,3.903299999999999,-3.119522744238096,0.22704038714285701,258.8723906343899,5.669049445014232,14,Orthorhombic,Cmcm,False,False
mp-756397,Li3V6O16,0.0,-2.3786919144,0.021704391799998002,272.9295911719175,3.5437768615436003,25,Monoclinic,Pm,False,True
mp-542814,SiO2,5.5504,-3.265347307499999,0.0074840363888910005,1071.0398743808114,2.235711217823113,72,Orthorhombic,P2_12_12_1,False,False
mp-764033,NaMn2O4,0.0,-1.9529847074630542,0.025177440357142002,350.49740472011246,3.7306919882217313,28,Monoclinic,P2/c,False,True
mp-673658,H2O,5.0695,-1.1775513,0.10245169333333301,102.71159127717468,1.1650126675580221,12,Orthorhombic,Cmc2_1,False,False
mp-1398042,Ca(CuO2)2,0.10459999999999901,-1.542171583571427,0.168071061428571,190.92113667000905,4.021166408574619,14,Monoclinic,P2_1,False,False
mp-1042154,Zn(WO2)2,0.6518,-1.4086734692857141,0.412297614642856,381.963643963947,8.644086753568397,28,Triclinic,P1,False,False
mp-1210508,Lu3SbO7,3.114699999999999,-3.469671939999998,0.0,271.9982218185503,9.263143311151058,22,Orthorhombic,C222_1,True,False
mp-1200706,SbOF6,0.6629,-1.791636794687499,0.23137303984375002,452.5822078788098,3.6947136013179502,32,Cubic,Ia-3,False,False
mp-1003764,K3Mn4O8,0.48749999999999905,-1.955604567398289,0.0,779.4353994690597,3.9629756312672573,60,Triclinic,P1,True,False
mp-3572,Gd2(MoO4)3,3.2407,-2.635878328529412,0.0,1224.8457871457385,4.307440003770833,68,Orthorhombic,Pba2,True,False
mp-15742,Nd2CuO4,0.0,-2.896723183571427,0.07589115500000501,187.96185912918057,7.350747495097408,14,Orthorhombic,Cmce,False,True
mp-30962,K4Ge9O20,3.0665,-2.17915325890909,0.0,975.599746308257,3.847158879398164,66,Tetragonal,I4_1/a,True,False
mp-771189,Ba4Ti3O10,2.2132,-3.431557339411766,0.022349617941161002,246.46560435059266,5.746354568427771,17,Orthorhombic,Fmm2,False,False
mp-18956,SmCrO4,0.0,-2.755208639166667,0.0,166.82157004242873,5.302560385578027,12,Tetragonal,I4_1/amd,True,True
mp-4359,Sr2PdO3,0.2353,-2.394458980833334,0.0,90.81177964681467,6.027965995755455,6,Orthorhombic,Immm,True,False
mp-1183917,CsMoO3,0.0,-1.7754282169310351,0.37378243524999805,70.60272032171409,6.511217942104932,5,Cubic,Pm-3m,False,True
mp-1264966,AlFeO3,0.6687000000000001,-2.3307735885,0.23604759199999903,197.55869509092068,4.398481964523095,20,Triclinic,P-1,False,False
mp-1200054,V4Fe2O13,2.299299999999999,-2.178933140394736,0.0038499167105250005,1188.9816311186953,2.9242039159970092,76,Monoclinic,P2_1/c,False,False
mp-3313239,Ba2IrO5,0.3391,-1.99963203578125,0.0,491.5336624410712,7.389896146948118,32,Orthorhombic,Pnma,True,False
mp-1199125,In2Se2O7,2.8578,-1.5873975830018932,0.0,1222.5172087479307,5.428309875751703,88,Orthorhombic,Pccn,True,False
mp-1216994,V2OF6,0.08559999999999901,-2.362066477222223,0.580557786458325,293.99363426375913,2.619334773887258,18,Orthorhombic,Ima2,False,False
mp-3249890,Pa3O7F,3.1542,-3.932072879204544,0.0,177.17051932628883,7.723933488518766,11,Orthorhombic,Cmmm,True,False
mp-624691,VAgO3,1.918899999999999,-1.731810440833332,0.023145989000012003,293.51845214034967,4.679945601066319,20,Monoclinic,C2/c,False,False
mp-1224786,GaSbO4,0.7966999999999991,-2.054515252916665,0.0,64.74197216120193,6.552712296160798,6,Orthorhombic,Cmmm,True,False
